,survived,pclass,sex,age,sibsp,parch,fare,embarked_C,embarked_Q,embarked_S
0,1,1,0,29.0,0,0,211.3375,0,0,1
1,1,1,1,0.9167,1,2,151.55,0,0,1
2,0,1,0,2.0,1,2,151.55,0,0,1
3,0,1,1,30.0,1,2,151.55,0,0,1
4,0,1,0,25.0,1,2,151.55,0,0,1
5,1,1,1,48.0,0,0,26.55,0,0,1
6,1,1,0,63.0,1,0,77.9583,0,0,1
7,0,1,1,39.0,0,0,0.0,0,0,1
8,1,1,0,53.0,2,0,51.4792,0,0,1
9,0,1,1,71.0,0,0,49.5042,1,0,0
10,0,1,1,47.0,1,0,227.525,1,0,0
11,1,1,0,18.0,1,0,227.525,1,0,0
12,1,1,0,24.0,0,0,69.3,1,0,0
13,1,1,0,26.0,0,0,78.85,0,0,1
14,1,1,1,80.0,0,0,30.0,0,0,1
15,0,1,1,29.8811345124283,0,0,25.925,0,0,1
16,0,1,1,24.0,0,1,247.5208,1,0,0
17,1,1,0,50.0,0,1,247.5208,1,0,0
18,1,1,0,32.0,0,0,76.2917,1,0,0
19,0,1,1,36.0,0,0,75.2417,1,0,0
20,1,1,1,37.0,1,1,52.5542,0,0,1
21,1,1,0,47.0,1,1,52.5542,0,0,1
22,1,1,1,26.0,0,0,30.0,1,0,0
23,1,1,0,42.0,0,0,227.525,1,0,0
24,1,1,0,29.0,0,0,221.7792,0,0,1
25,0,1,1,25.0,0,0,26.0,1,0,0
26,1,1,1,25.0,1,0,91.0792,1,0,0
27,1,1,0,19.0,1,0,91.0792,1,0,0
28,1,1,0,35.0,0,0,135.6333,0,0,1
29,1,1,1,28.0,0,0,26.55,0,0,1
30,0,1,1,45.0,0,0,35.5,0,0,1
31,1,1,1,40.0,0,0,31.0,1,0,0
32,1,1,0,30.0,0,0,164.8667,0,0,1
33,1,1,0,58.0,0,0,26.55,0,0,1
34,0,1,1,42.0,0,0,26.55,0,0,1
35,1,1,0,45.0,0,0,262.375,1,0,0
36,1,1,0,22.0,0,1,55.0,0,0,1
37,1,1,1,29.8811345124283,0,0,26.55,0,0,1
38,0,1,1,41.0,0,0,30.5,0,0,1
39,0,1,1,48.0,0,0,50.4958,1,0,0
40,0,1,1,29.8811345124283,0,0,39.6,1,0,0
41,1,1,0,44.0,0,0,27.7208,1,0,0
42,1,1,0,59.0,2,0,51.4792,0,0,1
43,1,1,0,60.0,0,0,76.2917,1,0,0
44,1,1,0,41.0,0,0,134.5,1,0,0
45,0,1,1,45.0,0,0,26.55,0,0,1
46,0,1,1,29.8811345124283,0,0,31.0,0,0,1
47,1,1,1,42.0,0,0,26.2875,0,0,1
48,1,1,0,53.0,0,0,27.4458,1,0,0
49,1,1,1,36.0,0,1,512.3292,1,0,0
50,1,1,0,58.0,0,1,512.3292,1,0,0
51,0,1,1,33.0,0,0,5.0,0,0,1
52,0,1,1,28.0,0,0,47.1,0,0,1
53,0,1,1,17.0,0,0,47.1,0,0,1
54,1,1,1,11.0,1,2,120.0,0,0,1
55,1,1,0,14.0,1,2,120.0,0,0,1
56,1,1,1,36.0,1,2,120.0,0,0,1
57,1,1,0,36.0,1,2,120.0,0,0,1
58,0,1,1,49.0,0,0,26.0,0,0,1
59,1,1,0,29.8811345124283,0,0,27.7208,1,0,0
60,0,1,1,36.0,1,0,78.85,0,0,1
61,1,1,0,76.0,1,0,78.85,0,0,1
62,0,1,1,46.0,1,0,61.175,0,0,1
63,1,1,0,47.0,1,0,61.175,0,0,1
64,1,1,1,27.0,1,0,53.1,0,0,1
65,1,1,0,33.0,1,0,53.1,0,0,1
66,1,1,0,36.0,0,0,262.375,1,0,0
67,1,1,0,30.0,0,0,86.5,0,0,1
68,1,1,1,45.0,0,0,29.7,1,0,0
69,1,1,0,29.8811345124283,0,1,55.0,0,0,1
70,0,1,1,29.8811345124283,0,0,0.0,0,0,1
71,0,1,1,27.0,1,0,136.7792,1,0,0
72,1,1,0,26.0,1,0,136.7792,1,0,0
73,1,1,0,22.0,0,0,151.55,0,0,1
74,0,1,1,29.8811345124283,0,0,52.0,0,0,1
75,0,1,1,47.0,0,0,25.5875,0,0,1
76,1,1,0,39.0,1,1,83.1583,1,0,0
77,0,1,1,37.0,1,1,83.1583,1,0,0
78,1,1,0,64.0,0,2,83.1583,1,0,0
79,1,1,0,55.0,2,0,25.7,0,0,1
80,0,1,1,29.8811345124283,0,0,26.55,0,0,1
81,0,1,1,70.0,1,1,71.0,0,0,1
82,1,1,0,36.0,0,2,71.0,0,0,1
83,1,1,0,64.0,1,1,26.55,0,0,1
84,0,1,1,39.0,1,0,71.2833,1,0,0
85,1,1,0,38.0,1,0,71.2833,1,0,0
86,1,1,1,51.0,0,0,26.55,0,0,1
87,1,1,1,27.0,0,0,30.5,0,0,1
88,1,1,0,33.0,0,0,151.55,0,0,1
89,0,1,1,31.0,1,0,52.0,0,0,1
90,1,1,0,27.0,1,2,52.0,0,0,1
91,1,1,1,31.0,1,0,57.0,0,0,1
92,1,1,0,17.0,1,0,57.0,0,0,1
93,1,1,1,53.0,1,1,81.8583,0,0,1
94,1,1,1,4.0,0,2,81.8583,0,0,1
95,1,1,0,54.0,1,1,81.8583,0,0,1
96,0,1,1,50.0,1,0,106.425,1,0,0
97,1,1,0,27.0,1,1,247.5208,1,0,0
98,1,1,0,48.0,1,0,106.425,1,0,0
99,1,1,0,48.0,1,0,39.6,1,0,0
100,1,1,1,49.0,1,0,56.9292,1,0,0
101,0,1,1,39.0,0,0,29.7,1,0,0
102,1,1,0,23.0,0,1,83.1583,1,0,0
103,1,1,0,38.0,0,0,227.525,1,0,0
104,1,1,0,54.0,1,0,78.2667,1,0,0
105,0,1,0,36.0,0,0,31.6792,1,0,0
106,0,1,1,29.8811345124283,0,0,221.7792,0,0,1
107,1,1,0,29.8811345124283,0,0,31.6833,0,0,1
108,1,1,0,29.8811345124283,0,0,110.8833,1,0,0
109,1,1,1,36.0,0,0,26.3875,0,0,1
110,0,1,1,30.0,0,0,27.75,1,0,0
111,1,1,0,24.0,3,2,263.0,0,0,1
112,1,1,0,28.0,3,2,263.0,0,0,1
113,1,1,0,23.0,3,2,263.0,0,0,1
114,0,1,1,19.0,3,2,263.0,0,0,1
115,0,1,1,64.0,1,4,263.0,0,0,1
116,1,1,0,60.0,1,4,263.0,0,0,1
117,1,1,0,30.0,0,0,56.9292,1,0,0
118,0,1,1,29.8811345124283,0,0,26.55,0,0,1
119,1,1,1,50.0,2,0,133.65,0,0,1
120,1,1,1,43.0,1,0,27.7208,1,0,0
121,1,1,0,29.8811345124283,1,0,133.65,0,0,1
122,1,1,0,22.0,0,2,49.5,1,0,0
123,1,1,1,60.0,1,1,79.2,1,0,0
124,1,1,0,48.0,1,1,79.2,1,0,0
125,0,1,1,29.8811345124283,0,0,0.0,0,0,1
126,0,1,1,37.0,1,0,53.1,0,0,1
127,1,1,0,35.0,1,0,53.1,0,0,1
128,0,1,1,47.0,0,0,38.5,0,0,1
129,1,1,0,35.0,0,0,211.5,1,0,0
130,1,1,0,22.0,0,1,59.4,1,0,0
131,1,1,0,45.0,0,1,59.4,1,0,0
132,0,1,1,24.0,0,0,79.2,1,0,0
133,1,1,1,49.0,1,0,89.1042,1,0,0
134,1,1,0,29.8811345124283,1,0,89.1042,1,0,0
135,0,1,1,71.0,0,0,34.6542,1,0,0
136,1,1,1,53.0,0,0,28.5,1,0,0
137,1,1,0,19.0,0,0,30.0,0,0,1
138,0,1,1,38.0,0,1,153.4625,0,0,1
139,1,1,0,58.0,0,1,153.4625,0,0,1
140,1,1,1,23.0,0,1,63.3583,1,0,0
141,1,1,0,45.0,0,1,63.3583,1,0,0
142,0,1,1,46.0,0,0,79.2,1,0,0
143,1,1,1,25.0,1,0,55.4417,1,0,0
144,1,1,0,25.0,1,0,55.4417,1,0,0
145,1,1,1,48.0,1,0,76.7292,1,0,0
146,1,1,0,49.0,1,0,76.7292,1,0,0
147,0,1,1,29.8811345124283,0,0,42.4,0,0,1
148,0,1,1,45.0,1,0,83.475,0,0,1
149,1,1,0,35.0,1,0,83.475,0,0,1
150,0,1,1,40.0,0,0,0.0,0,0,1
151,1,1,1,27.0,0,0,76.7292,1,0,0
152,1,1,1,29.8811345124283,0,0,30.0,0,0,1
153,1,1,0,24.0,0,0,83.1583,1,0,0
154,0,1,1,55.0,1,1,93.5,0,0,1
155,1,1,0,52.0,1,1,93.5,0,0,1
156,0,1,1,42.0,0,0,42.5,0,0,1
157,0,1,1,29.8811345124283,0,0,51.8625,0,0,1
158,0,1,1,55.0,0,0,50.0,0,0,1
159,1,1,0,16.0,0,1,57.9792,1,0,0
160,1,1,0,44.0,0,1,57.9792,1,0,0
161,1,1,0,51.0,1,0,77.9583,0,0,1
162,0,1,1,42.0,1,0,52.0,0,0,1
163,1,1,0,35.0,1,0,52.0,0,0,1
164,1,1,1,35.0,0,0,26.55,1,0,0
165,1,1,1,38.0,1,0,90.0,0,0,1
166,0,1,1,29.8811345124283,0,0,30.6958,1,0,0
167,1,1,0,35.0,1,0,90.0,0,0,1
168,1,1,0,38.0,0,0,80.0,0,0,0
169,0,1,0,50.0,0,0,28.7125,1,0,0
170,1,1,1,49.0,0,0,0.0,0,0,1
171,0,1,1,46.0,0,0,26.0,0,0,1
172,0,1,1,50.0,0,0,26.0,0,0,1
173,0,1,1,32.5,0,0,211.5,1,0,0
174,0,1,1,58.0,0,0,29.7,1,0,0
175,0,1,1,41.0,1,0,51.8625,0,0,1
176,1,1,0,29.8811345124283,1,0,51.8625,0,0,1
177,1,1,1,42.0,1,0,52.5542,0,0,1
178,1,1,0,45.0,1,0,52.5542,0,0,1
179,0,1,1,29.8811345124283,0,0,26.55,0,0,1
180,1,1,0,39.0,0,0,211.3375,0,0,1
181,1,1,0,49.0,0,0,25.9292,0,0,1
182,1,1,0,30.0,0,0,106.425,1,0,0
183,1,1,1,35.0,0,0,512.3292,1,0,0
184,0,1,1,29.8811345124283,0,0,27.7208,1,0,0
185,0,1,1,42.0,0,0,26.55,0,0,1
186,1,1,0,55.0,0,0,27.7208,1,0,0
187,1,1,0,16.0,0,1,39.4,0,0,1
188,1,1,0,51.0,0,1,39.4,0,0,1
189,0,1,1,29.0,0,0,30.0,0,0,1
190,1,1,0,21.0,0,0,77.9583,0,0,1
191,0,1,1,30.0,0,0,45.5,0,0,1
192,1,1,0,58.0,0,0,146.5208,1,0,0
193,1,1,0,15.0,0,1,211.3375,0,0,1
194,0,1,1,30.0,0,0,26.0,0,0,1
195,1,1,0,16.0,0,0,86.5,0,0,1
196,1,1,1,29.8811345124283,0,0,29.7,1,0,0
197,0,1,1,19.0,1,0,53.1,0,0,1
198,1,1,0,18.0,1,0,53.1,0,0,1
199,1,1,0,24.0,0,0,49.5042,1,0,0
200,0,1,1,46.0,0,0,75.2417,1,0,0
201,0,1,1,54.0,0,0,51.8625,0,0,1
202,1,1,1,36.0,0,0,26.2875,0,0,1
203,0,1,1,28.0,1,0,82.1708,1,0,0
204,1,1,0,29.8811345124283,1,0,82.1708,1,0,0
205,0,1,1,65.0,0,0,26.55,0,0,1
206,0,1,1,44.0,2,0,90.0,0,1,0
207,1,1,0,33.0,1,0,90.0,0,1,0
208,1,1,0,37.0,1,0,90.0,0,1,0
209,1,1,1,30.0,1,0,57.75,1,0,0
210,0,1,1,55.0,0,0,30.5,0,0,1
211,0,1,1,47.0,0,0,42.4,0,0,1
212,0,1,1,37.0,0,1,29.7,1,0,0
213,1,1,0,31.0,1,0,113.275,1,0,0
214,1,1,0,23.0,1,0,113.275,1,0,0
215,0,1,1,58.0,0,2,113.275,1,0,0
216,1,1,0,19.0,0,2,26.2833,0,0,1
217,0,1,1,64.0,0,0,26.0,0,0,1
218,1,1,0,39.0,0,0,108.9,1,0,0
219,1,1,1,29.8811345124283,0,0,25.7417,1,0,0
220,1,1,0,22.0,0,1,61.9792,1,0,0
221,0,1,1,65.0,0,1,61.9792,1,0,0
222,0,1,1,28.5,0,0,27.7208,1,0,0
223,0,1,1,29.8811345124283,0,0,0.0,0,0,1
224,0,1,1,45.5,0,0,28.5,0,0,1
225,0,1,1,23.0,0,0,93.5,0,0,1
226,0,1,1,29.0,1,0,66.6,0,0,1
227,1,1,0,22.0,1,0,66.6,0,0,1
228,0,1,1,18.0,1,0,108.9,1,0,0
229,1,1,0,17.0,1,0,108.9,1,0,0
230,1,1,0,30.0,0,0,93.5,0,0,1
231,1,1,1,52.0,0,0,30.5,0,0,1
232,0,1,1,47.0,0,0,52.0,0,0,1
233,1,1,0,56.0,0,1,83.1583,1,0,0
234,0,1,1,38.0,0,0,0.0,0,0,1
235,1,1,1,29.8811345124283,0,0,39.6,0,0,1
236,0,1,1,22.0,0,0,135.6333,1,0,0
237,0,1,1,29.8811345124283,0,0,227.525,1,0,0
238,1,1,0,43.0,0,1,211.3375,0,0,1
239,0,1,1,31.0,0,0,50.4958,0,0,1
240,1,1,1,45.0,0,0,26.55,0,0,1
241,0,1,1,29.8811345124283,0,0,50.0,0,0,1
242,1,1,0,33.0,0,0,27.7208,1,0,0
243,0,1,1,46.0,0,0,79.2,1,0,0
244,0,1,1,36.0,0,0,40.125,1,0,0
245,1,1,0,33.0,0,0,86.5,0,0,1
246,0,1,1,55.0,1,0,59.4,1,0,0
247,1,1,0,54.0,1,0,59.4,1,0,0
248,0,1,1,33.0,0,0,26.55,0,0,1
249,1,1,1,13.0,2,2,262.375,1,0,0
250,1,1,0,18.0,2,2,262.375,1,0,0
251,1,1,0,21.0,2,2,262.375,1,0,0
252,0,1,1,61.0,1,3,262.375,1,0,0
253,1,1,0,48.0,1,3,262.375,1,0,0
254,1,1,1,29.8811345124283,0,0,30.5,0,0,1
255,1,1,0,24.0,0,0,69.3,1,0,0
256,1,1,1,29.8811345124283,0,0,26.0,0,0,1
257,1,1,0,35.0,1,0,57.75,1,0,0
258,1,1,0,30.0,0,0,31.0,1,0,0
259,1,1,1,34.0,0,0,26.55,0,0,1
260,1,1,0,40.0,0,0,153.4625,0,0,1
261,1,1,1,35.0,0,0,26.2875,0,0,1
262,0,1,1,50.0,1,0,55.9,0,0,1
263,1,1,0,39.0,1,0,55.9,0,0,1
264,1,1,1,56.0,0,0,35.5,1,0,0
265,1,1,1,28.0,0,0,35.5,0,0,1
266,0,1,1,56.0,0,0,26.55,0,0,1
267,0,1,1,56.0,0,0,30.6958,1,0,0
268,0,1,1,24.0,1,0,60.0,0,0,1
269,0,1,1,29.8811345124283,0,0,26.0,0,0,1
270,1,1,0,18.0,1,0,60.0,0,0,1
271,1,1,1,24.0,1,0,82.2667,0,0,1
272,1,1,0,23.0,1,0,82.2667,0,0,1
273,1,1,1,6.0,0,2,134.5,1,0,0
274,1,1,1,45.0,1,1,134.5,1,0,0
275,1,1,0,40.0,1,1,134.5,1,0,0
276,0,1,1,57.0,1,0,146.5208,1,0,0
277,1,1,0,29.8811345124283,1,0,146.5208,1,0,0
278,1,1,1,32.0,0,0,30.5,1,0,0
279,0,1,1,62.0,0,0,26.55,0,0,1
280,1,1,1,54.0,1,0,55.4417,1,0,0
281,1,1,0,43.0,1,0,55.4417,1,0,0
282,1,1,0,52.0,1,0,78.2667,1,0,0
283,0,1,1,29.8811345124283,0,0,27.7208,1,0,0
284,1,1,0,62.0,0,0,80.0,0,0,0
285,0,1,1,67.0,1,0,221.7792,0,0,1
286,0,1,0,63.0,1,0,221.7792,0,0,1
287,0,1,1,61.0,0,0,32.3208,0,0,1
288,1,1,0,48.0,0,0,25.9292,0,0,1
289,1,1,0,18.0,0,2,79.65,0,0,1
290,0,1,1,52.0,1,1,79.65,0,0,1
291,1,1,0,39.0,1,1,79.65,0,0,1
292,1,1,1,48.0,1,0,52.0,0,0,1
293,1,1,0,29.8811345124283,1,0,52.0,0,0,1
294,0,1,1,49.0,1,1,110.8833,1,0,0
295,1,1,1,17.0,0,2,110.8833,1,0,0
296,1,1,0,39.0,1,1,110.8833,1,0,0
297,1,1,0,29.8811345124283,0,0,79.2,1,0,0
298,1,1,1,31.0,0,0,28.5375,1,0,0
299,0,1,1,40.0,0,0,27.7208,1,0,0
300,0,1,1,61.0,0,0,33.5,0,0,1
301,0,1,1,47.0,0,0,34.0208,0,0,1
302,1,1,0,35.0,0,0,512.3292,1,0,0
303,0,1,1,64.0,1,0,75.25,1,0,0
304,1,1,0,60.0,1,0,75.25,1,0,0
305,0,1,1,60.0,0,0,26.55,0,0,1
306,0,1,1,54.0,0,1,77.2875,0,0,1
307,0,1,1,21.0,0,1,77.2875,0,0,1
308,1,1,0,55.0,0,0,135.6333,1,0,0
309,1,1,0,31.0,0,2,164.8667,0,0,1
310,0,1,1,57.0,1,1,164.8667,0,0,1
311,1,1,0,45.0,1,1,164.8667,0,0,1
312,0,1,1,50.0,1,1,211.5,1,0,0
313,0,1,1,27.0,0,2,211.5,1,0,0
314,1,1,0,50.0,1,1,211.5,1,0,0
315,1,1,0,21.0,0,0,26.55,0,0,1
316,0,1,1,51.0,0,1,61.3792,1,0,0
317,1,1,1,21.0,0,1,61.3792,1,0,0
318,0,1,1,29.8811345124283,0,0,35.0,0,0,1
319,1,1,0,31.0,0,0,134.5,1,0,0
320,1,1,1,29.8811345124283,0,0,35.5,0,0,1
321,0,1,1,62.0,0,0,26.55,0,0,1
322,1,1,0,36.0,0,0,135.6333,1,0,0
323,0,2,1,30.0,1,0,24.0,1,0,0
324,1,2,0,28.0,1,0,24.0,1,0,0
325,0,2,1,30.0,0,0,13.0,0,0,1
326,0,2,1,18.0,0,0,11.5,0,0,1
327,0,2,1,25.0,0,0,10.5,0,0,1
328,0,2,1,34.0,1,0,26.0,0,0,1
329,1,2,0,36.0,1,0,26.0,0,0,1
330,0,2,1,57.0,0,0,13.0,0,0,1
331,0,2,1,18.0,0,0,11.5,0,0,1
332,0,2,1,23.0,0,0,10.5,0,0,1
333,1,2,0,36.0,0,0,13.0,0,0,1
334,0,2,1,28.0,0,0,10.5,0,0,1
335,0,2,1,51.0,0,0,12.525,0,0,1
336,1,2,1,32.0,1,0,26.0,0,0,1
337,1,2,0,19.0,1,0,26.0,0,0,1
338,0,2,1,28.0,0,0,26.0,0,0,1
339,1,2,1,1.0,2,1,39.0,0,0,1
340,1,2,0,4.0,2,1,39.0,0,0,1
341,1,2,0,12.0,2,1,39.0,0,0,1
342,1,2,0,36.0,0,3,39.0,0,0,1
343,1,2,1,34.0,0,0,13.0,0,0,1
344,1,2,0,19.0,0,0,13.0,0,0,1
345,0,2,1,23.0,0,0,13.0,0,0,1
346,0,2,1,26.0,0,0,13.0,0,0,1
347,0,2,1,42.0,0,0,13.0,0,0,1
348,0,2,1,27.0,0,0,13.0,0,0,1
349,1,2,0,24.0,0,0,13.0,0,0,1
350,1,2,0,15.0,0,2,39.0,0,0,1
351,0,2,1,60.0,1,1,39.0,0,0,1
352,1,2,0,40.0,1,1,39.0,0,0,1
353,1,2,0,20.0,1,0,26.0,0,0,1
354,0,2,1,25.0,1,0,26.0,0,0,1
355,1,2,0,36.0,0,0,13.0,0,0,1
356,0,2,1,25.0,0,0,13.0,0,0,1
357,0,2,1,42.0,0,0,13.0,0,0,1
358,1,2,0,42.0,0,0,13.0,0,0,1
359,1,2,1,0.8333,0,2,29.0,0,0,1
360,1,2,1,26.0,1,1,29.0,0,0,1
361,1,2,0,22.0,1,1,29.0,0,0,1
362,1,2,0,35.0,0,0,21.0,0,0,1
363,0,2,1,29.8811345124283,0,0,0.0,0,0,1
364,0,2,1,19.0,0,0,13.0,0,0,1
365,0,2,0,44.0,1,0,26.0,0,0,1
366,0,2,1,54.0,1,0,26.0,0,0,1
367,0,2,1,52.0,0,0,13.5,0,0,1
368,0,2,1,37.0,1,0,26.0,0,0,1
369,0,2,0,29.0,1,0,26.0,0,0,1
370,1,2,0,25.0,1,1,30.0,0,0,1
371,1,2,0,45.0,0,2,30.0,0,0,1
372,0,2,1,29.0,1,0,26.0,0,0,1
373,1,2,0,28.0,1,0,26.0,0,0,1
374,0,2,1,29.0,0,0,10.5,0,0,1
375,0,2,1,28.0,0,0,13.0,0,0,1
376,1,2,1,24.0,0,0,10.5,0,0,1
377,1,2,0,8.0,0,2,26.25,0,0,1
378,0,2,1,31.0,1,1,26.25,0,0,1
379,1,2,0,31.0,1,1,26.25,0,0,1
380,1,2,0,22.0,0,0,10.5,0,0,1
381,0,2,0,30.0,0,0,13.0,0,0,1
382,0,2,0,29.8811345124283,0,0,21.0,0,0,1
383,0,2,1,21.0,0,0,11.5,0,0,1
384,0,2,1,29.8811345124283,0,0,0.0,0,0,1
385,1,2,1,8.0,1,1,36.75,0,0,1
386,0,2,1,18.0,0,0,73.5,0,0,1
387,1,2,0,48.0,0,2,36.75,0,0,1
388,1,2,0,28.0,0,0,13.0,0,0,1
389,0,2,1,32.0,0,0,13.0,0,0,1
390,0,2,1,17.0,0,0,73.5,0,0,1
391,0,2,1,29.0,1,0,27.7208,1,0,0
392,1,2,0,24.0,1,0,27.7208,1,0,0
393,0,2,1,25.0,0,0,31.5,0,0,1
394,0,2,1,18.0,0,0,73.5,0,0,1
395,1,2,0,18.0,0,1,23.0,0,0,1
396,1,2,0,34.0,0,1,23.0,0,0,1
397,0,2,1,54.0,0,0,26.0,0,0,1
398,1,2,1,8.0,0,2,32.5,0,0,1
399,0,2,1,42.0,1,1,32.5,0,0,1
400,1,2,0,34.0,1,1,32.5,0,0,1
401,1,2,0,27.0,1,0,13.8583,1,0,0
402,1,2,0,30.0,1,0,13.8583,1,0,0
403,0,2,1,23.0,0,0,13.0,0,0,1
404,0,2,1,21.0,0,0,13.0,0,0,1
405,0,2,1,18.0,0,0,13.0,0,0,1
406,0,2,1,40.0,1,0,26.0,0,0,1
407,1,2,0,29.0,1,0,26.0,0,0,1
408,0,2,1,18.0,0,0,10.5,0,0,1
409,0,2,1,36.0,0,0,13.0,0,0,1
410,0,2,1,29.8811345124283,0,0,0.0,0,0,1
411,0,2,0,38.0,0,0,13.0,0,0,1
412,0,2,1,35.0,0,0,26.0,0,0,1
413,0,2,1,38.0,1,0,21.0,0,0,1
414,0,2,1,34.0,1,0,21.0,0,0,1
415,1,2,0,34.0,0,0,13.0,0,0,1
416,0,2,1,16.0,0,0,26.0,0,0,1
417,0,2,1,26.0,0,0,10.5,0,0,1
418,0,2,1,47.0,0,0,10.5,0,0,1
419,0,2,1,21.0,1,0,11.5,0,0,1
420,0,2,1,21.0,1,0,11.5,0,0,1
421,0,2,1,24.0,0,0,13.5,0,0,1
422,0,2,1,24.0,0,0,13.0,0,0,1
423,0,2,1,34.0,0,0,13.0,0,0,1
424,0,2,1,30.0,0,0,13.0,0,0,1
425,0,2,1,52.0,0,0,13.0,0,0,1
426,0,2,1,30.0,0,0,13.0,0,0,1
427,1,2,1,0.6667,1,1,14.5,0,0,1
428,1,2,0,24.0,0,2,14.5,0,0,1
429,0,2,1,44.0,0,0,13.0,0,0,1
430,1,2,0,6.0,0,1,33.0,0,0,1
431,0,2,1,28.0,0,1,33.0,0,0,1
432,1,2,1,62.0,0,0,10.5,0,0,1
433,0,2,1,30.0,0,0,10.5,0,0,1
434,1,2,0,7.0,0,2,26.25,0,0,1
435,0,2,1,43.0,1,1,26.25,0,0,1
436,1,2,0,45.0,1,1,26.25,0,0,1
437,1,2,0,24.0,1,2,65.0,0,0,1
438,1,2,0,24.0,1,2,65.0,0,0,1
439,0,2,1,49.0,1,2,65.0,0,0,1
440,1,2,0,48.0,1,2,65.0,0,0,1
441,1,2,0,55.0,0,0,16.0,0,0,1
442,0,2,1,24.0,2,0,73.5,0,0,1
443,0,2,1,32.0,2,0,73.5,0,0,1
444,0,2,1,21.0,2,0,73.5,0,0,1
445,0,2,0,18.0,1,1,13.0,0,0,1
446,1,2,0,20.0,2,1,23.0,0,0,1
447,0,2,1,23.0,2,1,11.5,0,0,1
448,0,2,1,36.0,0,0,13.0,0,0,1
449,1,2,0,54.0,1,3,23.0,0,0,1
450,0,2,1,50.0,0,0,13.0,0,0,1
451,0,2,1,44.0,1,0,26.0,0,0,1
452,1,2,0,29.0,1,0,26.0,0,0,1
453,0,2,1,21.0,0,0,73.5,0,0,1
454,1,2,1,42.0,0,0,13.0,0,0,1
455,0,2,1,63.0,1,0,26.0,0,0,1
